subject,relation,object
Dole,affiliated_with,the Gingrich Congress
Dole,affiliated_with,White House
Dole,affiliated_with,the Supreme Court
Sarah Brady,affiliated_with,Handgun Control Inc.
Richard Gephardt,affiliated_with,Gephardt
Richard Gephardt,affiliated_with,House
Bill Clinton,affiliated_with,Congress
ARA,affiliated_with,ARA
Gerald Machnee,affiliated_with,Reuters
Paul Ting,affiliated_with,Salomon Brothers
Clinton,affiliated_with,Chelsea
Bill Clinton,affiliated_with,Chelsea
Hillary Rodham Clinton,travels_to,Huntington
Hillary Rodham Clinton,travels_to,West Virginia
Hillary Rodham Clinton,travels_to,Chicago
Mike,official_of,House
Mike,affiliated_with,House
Philippe Seguin,affiliated_with,Assembly
Homme,affiliated_with,Lelouche
Jacques Toubon,affiliated_with,Justice
Tapie,affiliated_with,the European Court of Human Rights
Wijffels,affiliated_with,Reuters
Ekeus,official_of,U.N.
Ekeus,affiliated_with,U.N.
Ekeus,travels_to,Baghdad
Rolf Ekeus,affiliated_with,United Nations
Ekeus,affiliated_with,the United Nations Special Commission
Alan Ackerman,affiliated_with,Fahnestock & Co
Sadiki,affiliated_with,the Iraqi Community Association
David Harding,affiliated_with,"ARC ,"
Hanson,affiliated_with,"ARC ,"
Graham Watts,affiliated_with,the Construction Industry Council
Simon Brown,affiliated_with,investement bank UBS
Tarmac,affiliated_with,Twyford Down
Ballesteros,affiliated_with,Olazabal
Ballesteros,affiliated_with,Ryder Cup
Jimmy Thomson,affiliated_with,Raith Rovers FC
Bernard Halford,affiliated_with,Club
Carlisle,affiliated_with,Leyton
Lupu,affiliated_with,Reuters
Sanchez Vicario,affiliated_with,Laxmi Poruri
Mikael Tillstrom,affiliated_with,Tamer El Sawy
Billy Swift,affiliated_with,the Colorado Rockies
Mark Acre,affiliated_with,Orioles
Carlos Delgado,affiliated_with,Toronto Blue Jays
TENNIS - CHANG,affiliated_with,ADVANCE
Auxerre,affiliated_with,European Cup
Heinrich,affiliated_with,Borussia Dortmund 3
Heinrich,affiliated_with,Riedle
Balakov,affiliated_with,VfB
Schulz,affiliated_with,Werder Bremen 1
Schulz,affiliated_with,Borussia Moenchengladbach 0
Donkow 86th,affiliated_with,Schalke 1
Jeffrey,affiliated_with,Fortuna Sittard 2
Jeffrey,affiliated_with,Korneev
Cyprien,affiliated_with,Moura
Cyprien,affiliated_with,Neuchatel
Gilbert Gress,affiliated_with,Neuchatel
Federico Colonna,affiliated_with,Mapei
Robbie McEwen,affiliated_with,Rabobank
Tom Steels,affiliated_with,Mapei
Gabor Sitanyi,affiliated_with,ING Barings
Tamas Erdei,affiliated_with,ABN-AMRO Hoare Govett
Gary Kelly,travels_to,Leeds United
George Garang,affiliated_with,the Sudan People 's Liberation Army
Office,located_in,Nairobi
Barton,affiliated_with,Lynch
Barton,affiliated_with,Batchelor
Riel,affiliated_with,Lynch
Riel,affiliated_with,Batchelor
Caesar Mazzolari,travels_to,Sudan
Rumbek,travels_to,Sudan
Rumbek,affiliated_with,SPLA
Robert Frowick,affiliated_with,the Organisation for Security and Cooperation in Europe
Lebed,affiliated_with,Kremlin
Yeltsin,affiliated_with,Kremlin
Novye Atagi,travels_to,Chechnya
Tim Guldimann,travels_to,Chechnya
Aleksander Kwasniewski,travels_to,Slovenia
Aleksander Kwasniewski,travels_to,Kwasniewski
Kwasniewski,affiliated_with,the European Union
Kwasniewski,affiliated_with,NATO
Janez Drnovsek,travels_to,Slovenia
Janez Drnovsek,travels_to,Kwasniewski
Adrian Nastase,affiliated_with,PDSR
Gheorghe,official_of,PUNR
Gheorghe,affiliated_with,PUNR
Gheorghe Funar,affiliated_with,PUNR
Gheorghe Funar,affiliated_with,Iliescu
Lennart Meri,travels_to,Estonia
Heiki Kranich,affiliated_with,Reuters
Arnold Ruutel,affiliated_with,Meri
Enn Markvart,affiliated_with,the National Election Commission
Adnan Xhelili,affiliated_with,Reuters
Paul Thompson,affiliated_with,Xhelili
Marc Dutroux,travels_to,Belgium
Marc Dutroux,travels_to,Slovakia
Rudolf Gajdos,affiliated_with,Interpol
Eva Boudova,affiliated_with,Gajdos
Mark Dutroux,travels_to,Belgium
Mark Dutroux,affiliated_with,Gajdos
Dutroux,travels_to,Slovakia
Aslan Maskhadov,affiliated_with,Itar-Tass
Eduardo Bernini,travels_to,Sao Paulo
Emmanuel Sobral,travels_to,Sao Paulo
Emmanuel Sobral,affiliated_with,the Transportation Ministry
Manuel Alvarado,affiliated_with,Judicial
Manuel Alvarado,affiliated_with,Reuters
Sidor,affiliated_with,CVG
Banespa,affiliated_with,the Central Bank
Banespa,affiliated_with,O Globo
Bamerindus,affiliated_with,O Globo
Vaclav Havel,travels_to,Czech Republic
Vaclav Havel,travels_to,Brazil
Fernando Henrique Cardoso,travels_to,Brasilia
Fernando Henrique Cardoso,travels_to,Manaus
Fernando Henrique Cardoso,travels_to,Sao Paulo
Fernando Henrique Cardoso,travels_to,Rio de Janeiro
Kim Young Sam,travels_to,Brazil
Helmut Kohl,travels_to,Brazil
Hector Campora,affiliated_with,Peronists
Vicente Solano Lima,affiliated_with,Peronists
Hanifah Komala,affiliated_with,Matahari
Hasan Muratovic,travels_to,Ankara
Hasan Muratovic,travels_to,Turkey
Fulcheri,affiliated_with,U.N.
Kate Michelman,affiliated_with,the National Abortion Rights Action League
Chg White Chg,affiliated_with,Spring Chg Durum
Glyn,official_of,Department
Glyn,affiliated_with,Department
Glyn Davies,affiliated_with,State Department
Clinton,affiliated_with,the Democratic Convention in Chicago
Dole,affiliated_with,the Reform Party
Ross Perot,affiliated_with,the Reform Party
Maureen Garrity,affiliated_with,Amtrak
Dan,official_of,Hospital
Dan,affiliated_with,Hospital
Dan Pudvah,affiliated_with,Vermont Central Hospital
David Levy,affiliated_with,the Press Trust of India
Teresa,affiliated_with,Missionaries
Mother Teresa 's,affiliated_with,Missionaries of Charity
Nirmal Hriday,affiliated_with,Immaculate Home
Teresa,affiliated_with,Mother House
Ahmad Shah Masood,travels_to,U.S.
Dana Rohrabacher,travels_to,U.S.
Masood,travels_to,Italy
Masood,travels_to,Saudi Arabia
Masood,travels_to,Pakistan
Masood,travels_to,Afghanistan
Amrollah,travels_to,Italy
Amrollah,travels_to,Saudi Arabia
Amrollah,travels_to,Pakistan
Amrollah,travels_to,Afghanistan
Rohrabacher,travels_to,Italy
Rohrabacher,travels_to,Saudi Arabia
Rohrabacher,travels_to,Pakistan
Rohrabacher,travels_to,Afghanistan
Amrollah,affiliated_with,U.N.
Rohrabacher,affiliated_with,U.N.
Rohrabacher,travels_to,Jalalabad
Rohrabacher,travels_to,Kandahar
Hasina,affiliated_with,the Awami League of Prime
Peter Munk,affiliated_with,Barrick
Pierina,affiliated_with,Barrick
AOL,located_in,Europe
Bertelsmann,affiliated_with,America Online
Bertelsmann,affiliated_with,AOL
Bertelsmann,affiliated_with,Bertelsmann AG
Bernd Schiphorst,affiliated_with,AdOn GmbH
Jan Buettner,affiliated_with,AOL Germany
-- William Boston,affiliated_with,CeBIT
Mohamed Abu Liwaya,affiliated_with,Information Ministry
Ronald Reagan,affiliated_with,the Democratic National convention
Forschungsgruppe Wahlen,affiliated_with,Electoral Research Group
Roger Grimwade,travels_to,Cyprus
Mentmore,affiliated_with,British Data
Drew,affiliated_with,Peiris
Naoto Kan,affiliated_with,Health
Gabon,affiliated_with,the United Nations Human Rights Commission
Jiang Zemin,travels_to,Gabon
Omar Bongo,travels_to,China
Omar Bongo,travels_to,Gabon
Omar Bongo,affiliated_with,Xinhua news agency
Ahmed Hashem Zighayer,affiliated_with,Reuters
Netanyahu,affiliated_with,PLO
Arthur Levitt,affiliated_with,SEC
Richard Lindsey,affiliated_with,SEC
Alfred Berkeley,affiliated_with,Nasdaq
Ross McFarlane,affiliated_with,Domingo Hospital
Seve Ballesteros,affiliated_with,Domingo Hospital
Erik Zabel,affiliated_with,Telekom
McEwen,affiliated_with,Rabobank
Kaspars Ozers,affiliated_with,Motorola
Lance Armstrong,affiliated_with,Motorola
George Hincapie,affiliated_with,Motorola
Edouard Gritson,affiliated_with,Boardman 4:14.784
Steven Redgrave,travels_to,Britain
Steven Redgrave,travels_to,Olympic
Steven Redgrave,travels_to,Sydney
Botham,travels_to,Portsmouth
Botham,travels_to,Southampton
Ruben Amaro,affiliated_with,RBI
Ruben Amaro,affiliated_with,the Philadelphia Phillies
Denny Neagle,affiliated_with,the Pittsburgh Pirates
John Smoltz,affiliated_with,the Pittsburgh Pirates
John Smoltz,affiliated_with,the Atlanta Braves 3-2
Neagle,affiliated_with,Braves
Bobby Valentine 's,affiliated_with,Mets
Wally Joyner,affiliated_with,Padres
Mehrtens,affiliated_with,TriNations
Giles Bonnet,affiliated_with,the South African Hockey Association
Alba,affiliated_with,Partizan
Alba,affiliated_with,Benetton ( Italy
Judith Wiesner,affiliated_with,Wimbledon
Kimiko Date,affiliated_with,Wimbledon
Graf,affiliated_with,Grand Slam
Sosa,affiliated_with,National League Most Valuable Player
Frank de Boer,affiliated_with,Ajax
Pascal Jongsma,affiliated_with,Volendam
Robson,affiliated_with,Atletico
Santiago Bernabeu,affiliated_with,the Real Madrid 's
Juan Lopez,affiliated_with,Atletico Madrid 3
Patrick Kluivert,affiliated_with,Ajax
Parma,travels_to,Pescara
Carlo Ancelotti,travels_to,Pescara
Enrico Chiesa,travels_to,Pescara
Carlos Bianchi,travels_to,Roma
Carlos Bianchi,travels_to,Cesena
Carlos Bianchi,travels_to,Rome
Arrigo Sacchi,travels_to,Roma
Arrigo Sacchi,travels_to,Cesena
Arrigo Sacchi,travels_to,Rome
Oliver Bierhoff,travels_to,Germany
Thomas Helmer,affiliated_with,Bayern Munich
Juergen Klinsmann,affiliated_with,Bayern Munich
Sean Dundee,affiliated_with,Rhineside
Keller,affiliated_with,Karlsruhe 4
Helmer 37th,affiliated_with,Bayern Munich 4
Helmer 37th,affiliated_with,Zickler 26th
Sergio,affiliated_with,Bayer Leverkusen 2
Feldhoff,affiliated_with,Bayer Leverkusen 2
Anton Drobnjak,affiliated_with,Bastia
Vladimir Smicer,affiliated_with,Bastia
Miladin,affiliated_with,Bastia
James Debbah,affiliated_with,PSG
Patrice Loko,affiliated_with,PSG
Lens,affiliated_with,Foe
Foe,affiliated_with,Foe
Kader Ferhaoui,affiliated_with,Montpellier
Fabien Lefevre,affiliated_with,Montpellier
Willem II,affiliated_with,RKC Waalijk 2
Van Arum,affiliated_with,Schreuder 39th
Vierklau 85th,affiliated_with,Vitesse Arnhem 1
Roda JC Kerkrade 1,affiliated_with,Groningen 1
Larsson,affiliated_with,Feyenoord 2
Van Gastel,affiliated_with,Feyenoord 2
Marcelo,affiliated_with,Volendam 1
Frank de Boer,affiliated_with,Alkmaar 0
Jeffrey 7th,affiliated_with,Fortuna Sittard 2
Jeffrey 7th,affiliated_with,Roest 33rd
Hansma 24th,affiliated_with,Korneev 15th
Wouden,affiliated_with,Korneev 15th
St Pauli,affiliated_with,Karlsruhe
Henry 26th,affiliated_with,Cannes 0 Monaco 2
Etienne Mendy,affiliated_with,Le Havre 1
Foe 85th,affiliated_with,Vairelles
Foe 85th,affiliated_with,Montpellier
Giuly,affiliated_with,Lyon 2
Nancy 0,affiliated_with,Lyon 2
Colleter 86th,affiliated_with,Rennes 1 ( Guivarch
JOHNSON,affiliated_with,ATHLETICS - CHRISTIE
OWENS,affiliated_with,ATHLETICS - CHRISTIE
Michael Johnson,affiliated_with,Christie
Romesh Kaluwitharana,affiliated_with,Jayasuriya
M. Azharuddin st Kaluwitharana,affiliated_with,Jayasuriya
Roshan Mahanama,affiliated_with,Tillekeratne
Kumara Dharmasena,affiliated_with,Tillekeratne
Roshan Mahanama,affiliated_with,Chaminda Vaas
Kumara Dharmasena,affiliated_with,Chaminda Vaas
Ravindra Pushpakumara,affiliated_with,Chaminda Vaas
Jonas Savimbi,travels_to,U.S.
Jonas Savimbi,travels_to,Angola
Jonas Savimbi,travels_to,Bailundo
Jonas Savimbi,affiliated_with,Unita
John Allen,affiliated_with,Reuters
F.W. De Klerk,affiliated_with,National Party
al Morinville,affiliated_with,Trax
Arch,affiliated_with,Trax
Arch,affiliated_with,Trax Petroleums Ltd
Eddie Hedaya,affiliated_with,BioVest Research
Mark Wolf,affiliated_with,Biogen
Michael Astrue,affiliated_with,Biogen
Robert Chabora,affiliated_with,Biogen
Court,located_in,Newark
William O'Neill,affiliated_with,Merrill Lynch
-- Huw Jones,affiliated_with,New York Commodities 212-859-1646
Escravos,affiliated_with,ENAP
-- Jacqueline Wong,affiliated_with,New York Energy
Tom Kiernan,affiliated_with,Five Nations '
ministry,located_in,Ottawa
Fallah Sewa,affiliated_with,Eastern Region Brigade
Remmy Mushota,affiliated_with,Legal Affairs
Luminzu Shimaponda,affiliated_with,Lands
Luminzu Shimaponda,affiliated_with,Shimaponda
Ruth Perry,travels_to,Liberia
Perry,affiliated_with,Senate
Charles Taylor,affiliated_with,State Council
Alhadji Kromah,affiliated_with,State Council
Dutroux,affiliated_with,Interpol
Dutroux,travels_to,Czech Republic
Dutroux,affiliated_with,Gajdos
Dutroux,travels_to,Belgium
Gianni Versace,affiliated_with,Vogue
Gianni Versace,affiliated_with,Gazeta Wyborcza
Nick Mokhoff,affiliated_with,Alliance-Menatep
Alexander Babayan,affiliated_with,CentrInvest Securities
Mokhoff,affiliated_with,Gazprom
Rostelekom,affiliated_with,LUKoil
"-- Julie Tolkacheva ,",affiliated_with,Moscow Newsroom
Helmut Kohl,travels_to,Moscow
Boris Yeltsin,travels_to,Moscow
Yeltsin,affiliated_with,Interfax
Sergei Yastrzhembsky,affiliated_with,Interfax
Lajos Horvath,travels_to,Nagyatad
Lajos Horvath,affiliated_with,Reuters
Toomas Savi,affiliated_with,Reuters
Gazeta Wyborcza,affiliated_with,Rosati
Yeltsin,affiliated_with,Rosati
Ebe Huizinga,travels_to,Costa Rica
Ryutaro Hashimoto,travels_to,Costa Rica
Arthur Yates,affiliated_with,Co ltd
Jalal,official_of,PUK
Jalal,affiliated_with,PUK
Robert Pelletreau,affiliated_with,Near East Affairs
Massoud Barzani,affiliated_with,KDP
Saddam Hussein,affiliated_with,PUK
Saddam Hussein,affiliated_with,the Kurdistan Democratic Party
Abdulsamad Hameed Ali,affiliated_with,INA
Dole,affiliated_with,California Proposition 215
Ronald Reagan,affiliated_with,the White House
George Bush,affiliated_with,the White House
Wilson,affiliated_with,the White House
Johnson,affiliated_with,Kan
Mark Hodges,affiliated_with,the Oklahoma Wheat Commission
Rodney Mosier,affiliated_with,the Texas Wheat Producers
Dan,official_of,Amoco
Dan,affiliated_with,Amoco
Dan Dietsch,affiliated_with,Amoco
-- Oliver Ludwig,affiliated_with,New York Energy
Nsanze Terence,affiliated_with,the U.N. Security Council
Nawaz Sharif,affiliated_with,Pakistan Muslim League
Nani Palkhivala,affiliated_with,ACC
Palkhivala,affiliated_with,ACC
M. Karunanidhi,affiliated_with,State
N.J. Bose,affiliated_with,All Fishermen 's Association
Bruno Adelt,affiliated_with,VW
-- John Gilardi,affiliated_with,Frankfurt Newsroom
Miltiadis Evert,affiliated_with,ND
Simitis,affiliated_with,EU
ND,affiliated_with,EU
Al-Aqsa,travels_to,Jerusalem
Shimon Peres,affiliated_with,Labour
Arafat,affiliated_with,PLO
Mahmoud Abbas,affiliated_with,PLO
Abu Mazen,affiliated_with,PLO
Yitzhak Mordechai,affiliated_with,Defence
Omer,official_of,Ministry
Omer,affiliated_with,Ministry
Tansu Ciller,travels_to,Jordan
Omer Akbel,travels_to,Jordan
Omer Akbel,affiliated_with,Foreign Ministry
Necmettin Erbakan,travels_to,Iran
Romano Prodi,travels_to,Turkey
Suleyman Demirel,affiliated_with,Prodi
Tansu Ciller,affiliated_with,Akbel
Hakkari,affiliated_with,PKK
David Levy,travels_to,Egypt
Hosni Mubarak,travels_to,Egypt
Hosni Mubarak,affiliated_with,the Foreign Ministry
Lamm,affiliated_with,CNN
Perot,affiliated_with,CNN
Kenneth Chiate,affiliated_with,Names
David Rowland,affiliated_with,Lloyd 's
John Head,affiliated_with,the Association of Lloyd 's State Chairmen
Juppe,travels_to,France
Juppe,travels_to,Greece
Alain Juppe,travels_to,Greece
Dimitris Reppas,travels_to,Greece
Prince Rainier,affiliated_with,Reuters
Joao,official_of,Commission
Joao,affiliated_with,Commission
Joao Vale de Almeida,affiliated_with,Commission
Exploitation,located_in,Stockholm
Anita Gradin,affiliated_with,the World Congress
Anita Gradin,affiliated_with,Sexual Exploitation of Children
Constantine Mitsotakis,affiliated_with,New Democracy party
George Georgiopoulos,affiliated_with,Athens Newsroom
Garry,official_of,GPG
Garry,affiliated_with,GPG
Garry Weiss,affiliated_with,GPG
Telfer,affiliated_with,Newcrest
bush hunt,affiliated_with,RTRS - Queensland
Ieng Sary,affiliated_with,Khmer Rouge 's
Pol Pot,affiliated_with,Khmer Rouge 's
Ieng,official_of,Rouge
Ieng,affiliated_with,Rouge
Ieng Sary,affiliated_with,Khmer Rouge
Pol Pot,affiliated_with,Khmer Rouge
Stung Treng,travels_to,Phnom Penh
Masayoshi Takemura,affiliated_with,New Party Sakigake
Hashimoto,affiliated_with,Liberal
Ryutaro Hashimoto 's,affiliated_with,Liberal Democratic Party
Ryutaro Hashimoto 's,affiliated_with,LDP
Yukio Hatoyama,affiliated_with,LDP
Ren A Ren,affiliated_with,Dai
Mohammad Dahman,affiliated_with,Addameer Prisoners Support Association
Nahed Dahlan,affiliated_with,The Palestinian Authority
George Joulwan,affiliated_with,NATO
George Joulwan,affiliated_with,Supreme Allied
John Sheehan,affiliated_with,Supreme Allied
Yasushi Akashi,affiliated_with,DHA
Gerard Kiely,affiliated_with,Reuters
Kiely,affiliated_with,BSE
David Naish,affiliated_with,National Farmers Union
David Naish,affiliated_with,BBC
Creutzfeldt-Jakob,affiliated_with,CJD
Vyacheslav Ekimov,affiliated_with,Rabobank
Erik Dekker,affiliated_with,Rabobank
Erik Breukink,affiliated_with,Rabobank
Wilfried Peeters,affiliated_with,Mapei
Michael Andersson,affiliated_with,Telekom
Olaf Ludwig,affiliated_with,Telekom
Saeed Anwar 57,affiliated_with,England 226-5
M. Atherton,affiliated_with,England 226-5
Moin Khan,affiliated_with,Inzamam-ul-Haq
Salim Malik,affiliated_with,Inzamam-ul-Haq
Almere,affiliated_with,the Tour of the Netherlands
Rolf Sorensen,affiliated_with,Rabobank
M. Saggers 6-65,affiliated_with,Durham 114
W. Weston,affiliated_with,A. Harris 4-31
K. Barnett 83,affiliated_with,A. Harris 4-31
Bruce Grobbelaar,travels_to,England
Bruce Grobbelaar,travels_to,Zimbabwe
Vincent Pamire,affiliated_with,ZIFA
Vincent Pamire,affiliated_with,Grobbelaar
Hans Segers,affiliated_with,Grobbelaar
Alba,affiliated_with,Red Star
Alba,affiliated_with,Benetton of Italy
Paul O'Neill,affiliated_with,Yankees
O'Neill,affiliated_with,Yankees
Ray Durham,affiliated_with,RBI
Ozzie Guillen,affiliated_with,RBI
Dave Nilsson,affiliated_with,Brewers
Johnny Damon,affiliated_with,the Kansas City Royals
Martinez,affiliated_with,Opens
Denny Neagle,affiliated_with,the National League
Graef,affiliated_with,NEC
Graafschap Doetinchem,affiliated_with,Feyenoord
Willem II,affiliated_with,RKC Waalwijk
BAILEY,affiliated_with,ATHLETICS - JOHNSON
BAILEY,affiliated_with,CHRISTIE
BAILEY,affiliated_with,OWENS
Johnson,affiliated_with,Bailey
Emon,affiliated_with,Nice
Richard Witschge,affiliated_with,Ajax
Richard Witschge,affiliated_with,PSV
Philip Cocu,affiliated_with,PSV
Guus Hiddink,affiliated_with,Feyenoord
Giovanni van Bronckhorst,affiliated_with,Feyenoord
Giovanni van Bronckhorst,affiliated_with,Vitesse
Ferdy Vierklau,affiliated_with,Vitesse
Ferdy Vierklau,affiliated_with,Veldman
Cocu,affiliated_with,Vitesse
Cocu,affiliated_with,Veldman
-- George Georgiopoulos,affiliated_with,Athens Newsroom
MATHER,affiliated_with,ND PARTY
MATHER,affiliated_with,BOLD / OGILVY
MATHER,affiliated_with,AD
Miltiadis Evert,affiliated_with,Spot Thomson
Diana,affiliated_with,Times
EUROSWISS,affiliated_with,SEP
Tom Ikimi,travels_to,Nigeria
Ken Saro-Wiwa,affiliated_with,Commonwealth
Beatrix,travels_to,Africa
Beatrix,heads_for,Africa
Queen Beatrix,travels_to,S. Africa
Queen Beatrix,travels_to,Netherlands
Queen Beatrix,travels_to,South Africa
Raphael Lakpe,affiliated_with,Le Populaire
Max Marriner,affiliated_with,NATO
Max Marriner,affiliated_with,Reuters
Zvornik,travels_to,Mahala
Marriner,travels_to,Mahala
Biljana Plavsic,travels_to,Banja Luka
Artyom Danielyan,affiliated_with,Moscow Newsroom
Emanuil Ceausu,travels_to,Bucharest
Victor Babes,travels_to,Bucharest
Vukasin Filipovic,affiliated_with,Reuters
Matos,affiliated_with,IMF
Antonio Kandir,affiliated_with,Brazilian Planning
Antonio Gonzalez Garcia,affiliated_with,Revolutionary Workers ' Party
Banharn,affiliated_with,Rajapat Institute
Chavalit Yongchaiyudh,affiliated_with,Defence
Chavalit Yongchaiyudh,affiliated_with,the New Aspiration Party
Ahmed Yassin,affiliated_with,Hamas
Yassin,affiliated_with,Ramle
Shimon Peres,travels_to,Morocco
Shimon Peres,travels_to,Skhirat
Hassan,travels_to,Morocco
Hassan,travels_to,Skhirat
Peres,travels_to,Morocco
Morris,affiliated_with,Star
Hillary Rodham Clinton,affiliated_with,ABC
Cargill,affiliated_with,Bunge
Ken Goldstein,affiliated_with,Conference Board
Clinton,affiliated_with,Morris
Clinton,travels_to,Washington
Nawaz Sharif,affiliated_with,the Pakistan People 's Party
Javedan Cement,affiliated_with,the Privatisation Commission
Javedan Cement,affiliated_with,Dadabhoy Investment ( pvt ) Ltd
Abdul Rashid Dostum,affiliated_with,northern militia
Richard Sabourin,affiliated_with,Vicorp Restaurants Inc
-- R Leong,affiliated_with,New York
Elias Moosa,affiliated_with,Roberston Stephens & Co
Scott Randall,affiliated_with,Soundview Financial Group
Miles Kan,affiliated_with,Hambrecht & Quist
Hammerson,affiliated_with,Land Securities
-- Jonathan Birt,affiliated_with,London Newsroom
Burea,affiliated_with,Reuters
Arafat,travels_to,Ramallah
Petra,affiliated_with,Kabariti
Ali Fallahiyan,affiliated_with,Intelligence
Museum,located_in,Cairo
Wyche Fowler,travels_to,Washington
Wyche Fowler,travels_to,Saudi Arabia
Wyche Fowler,travels_to,U.S.
Wyche Fowler,travels_to,Riyadh
Raymond Mabus,affiliated_with,Fowler
Kabariti,travels_to,Jordan
James Baker,affiliated_with,State
Baker,affiliated_with,the Republican National Convention
Clinton,affiliated_with,the Republican National Convention
Itamar Rabinovich,affiliated_with,GOP
Itamar Rabinovich,affiliated_with,Post
John Simon,affiliated_with,Southern Illinois University
University,located_in,Washington
Edward Smith,affiliated_with,American Studies
Edward Smith,affiliated_with,American University
Clinton,travels_to,Chicago
Bill Clinton,travels_to,Chicago
Jean-Louis Debre,affiliated_with,Interior
Nitto Santapaola,affiliated_with,Mafia
Leveilly,affiliated_with,Le Matin
Herbert Demel,affiliated_with,Audi AG
Fertilisers,affiliated_with,Kekkila Oy
-- Andrew Huddart,affiliated_with,London Newsroom
Tsang,travels_to,Hong Kong
Tsang,travels_to,U.S.
Tsang,travels_to,China
"Q2 +168,130",affiliated_with,EPA
Robert Rubin,affiliated_with,Treasury
Clinton,affiliated_with,Treasury
Rubin,affiliated_with,Treasury
Lloyd Bentsen,affiliated_with,Treasury
Chris Widness,affiliated_with,Chase Securities Inc.
Rubin,affiliated_with,Chase Securities Inc.
Michael Faust,affiliated_with,"Bailard , Biehl"
Alan Greenspan 's,affiliated_with,Widness
Alan Greenspan 's,affiliated_with,the Federal Reserve
Alan Greenspan 's,affiliated_with,Treasury
Rubin,affiliated_with,the White House
Michael Perelstein,affiliated_with,MainStay International Funds
Tanya Dubnicoff,affiliated_with,Canada 2-0
Morton,affiliated_with,the Scottish League Cup
Sion,affiliated_with,UEFA Cup
David Ginola,affiliated_with,PSG
Michael Doohan,affiliated_with,Honda
Luca Cadalora,affiliated_with,Honda
Alex Criville,affiliated_with,Honda
Tadayuki Okada,affiliated_with,Honda
Carlos Checa,affiliated_with,Honda
Alexandre Barros,affiliated_with,Honda
Shinichi Itoh,affiliated_with,Honda
Phil Simmons,travels_to,Leicestershire
Phil Simmons,travels_to,Somerset
Kent,affiliated_with,Surrey
Chris Lewis,affiliated_with,Surrey
Mark Butcher,affiliated_with,Surrey
Tim O'Gorman,affiliated_with,Derbyshire
A. Dale 69,affiliated_with,Chester-le-Street
A. Dale 69,affiliated_with,H. Morris 69
P. Johnson 84,affiliated_with,Tunbridge Wells
M. Butcher,affiliated_with,Surrey 429-7
M. Butcher,affiliated_with,G. Kersey 63
J. Ratcliffe 63,affiliated_with,G. Kersey 63
D. Bicknell,affiliated_with,G. Kersey 63
W. Athey,affiliated_with,V. Drakes 52
W. Athey,affiliated_with,I. Austin 4-37
W. Hegg 54,affiliated_with,I. Austin 4-37
K. Barnett 87,affiliated_with,J. Adams 123
K. Barnett 87,affiliated_with,T. Moody 6-82
Teddy Sheringham,affiliated_with,Shearer
Les Ferdinand,affiliated_with,Shearer
Anatoly Gorokhovsky,affiliated_with,Rotor
Lada Togliatti,affiliated_with,Rotor
Duran,affiliated_with,Reuters
Andre Agassi,affiliated_with,Wimbledon
Marcelo Rios,affiliated_with,Wimbledon
Marcelo Rios,affiliated_with,MaliVai Washington
Agassi,travels_to,India
Leander Paes,travels_to,India
Rios,affiliated_with,Tarango
Randall Cunningham,affiliated_with,the National Football League 's
Cunningham,affiliated_with,the Philadelphia Eagles
Jeffrey Lurie,affiliated_with,NFL
Jeffrey Lurie,affiliated_with,Eagles
Randall,affiliated_with,Eagles
Billy Andrade,affiliated_with,Duffy Waldorf
Jesper Parnevik,affiliated_with,Duffy Waldorf
Loren Roberts,affiliated_with,Wood
Steve Stricker,affiliated_with,Wood
Brian Claar,affiliated_with,Wood
Jerry Kelly,affiliated_with,Green
Tim Simpson,affiliated_with,Green
Olin Browne,affiliated_with,Green
Bob Estes,affiliated_with,Duffy Waldorf
Mauro Silva,affiliated_with,Real Madrid
BAILEY,affiliated_with,ATHLETICS - MITCHELL
BAILEY,affiliated_with,FRONT OF FORMER CHAMPIONS
Michael Green,affiliated_with,Bailey
Jesse Owens,affiliated_with,Men 's
EDWARDS,affiliated_with,ATHLETICS - HARRISON
Edwards,affiliated_with,Atlanta Games
Final,located_in,Milan
Edwards,travels_to,Milan
Edwards,travels_to,Sarajevo
Lentini,affiliated_with,Atalanta
M. Waugh,affiliated_with,Jayasuriya
Dharmasena,affiliated_with,Tillekeratne
Chandana,affiliated_with,D. Fleming
Chandana,affiliated_with,Jayasuriya
S. Jayasuriya,affiliated_with,Fleming
Healy,affiliated_with,Fleming
A. Ranatunga,affiliated_with,Fleming 0
M. Waugh,affiliated_with,Fleming 8-1-26-3
Upul Chandana,affiliated_with,Chaminda Vaas
-- Luli Popescu,affiliated_with,Bucharest Newsroom
-- Harry Milling,affiliated_with,New York Energy Desk
Lawrence Lindsey,affiliated_with,Federal Reserve
Alan Greenspan,affiliated_with,Fed
Magna,affiliated_with,the New York Stock Exchange
John Casesa,affiliated_with,Schroder Wertheim & Co
Lear,affiliated_with,"Magna , Johnson Controls"
-- Jim Ballantyne,affiliated_with,London Newsroom
MATIF,located_in,Paris
Briton,affiliated_with,World Boxing Council
Briton,affiliated_with,WBC
Mike Tyson,affiliated_with,World Boxing Council
Mike Tyson,affiliated_with,WBC
Irwin,affiliated_with,"Breen , Staunton ,"
Irwin,affiliated_with,Harte
Irwin,affiliated_with,McLoughlin
McAteer,affiliated_with,"Breen , Staunton ,"
McAteer,affiliated_with,Harte
McAteer,affiliated_with,McLoughlin
